"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: impl","Param: iterations"
"algo.bench.ConnectedComponentsBenchmark.wccCount","avgt",1,10,115.916298,39.582543,"us/op",,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.alloc.rate","avgt",1,10,151.848729,38.127509,"MB/sec",,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.alloc.rate.norm","avgt",1,10,26931.241982,128.127211,"B/op",,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Eden_Space","avgt",1,10,200.907239,489.282574,"MB/sec",,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Eden_Space.norm","avgt",1,10,43553.693202,111425.469430,"B/op",,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Survivor_Space","avgt",1,10,0.464050,2.218581,"MB/sec",,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,92.165986,440.637524,"B/op",,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.count","avgt",1,10,3.000000,NaN,"counts",,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.time","avgt",1,10,249.000000,NaN,"ms",,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential","avgt",1,5,759.180207,726.332196,"us/op",,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.alloc.rate","avgt",1,5,1975.166244,1743.119492,"MB/sec",,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.alloc.rate.norm","avgt",1,5,2476320.039068,3509.041361,"B/op",,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Eden_Space","avgt",1,5,2044.458699,2974.905057,"MB/sec",,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Eden_Space.norm","avgt",1,5,2496266.885782,2355405.234457,"B/op",,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Survivor_Space","avgt",1,5,0.942414,2.475857,"MB/sec",,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1102.226912,2763.268441,"B/op",,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.count","avgt",1,5,13.000000,NaN,"counts",,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.time","avgt",1,5,304.000000,NaN,"ms",,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel","avgt",1,5,512.194276,221.293369,"us/op",,
